Loop:5,uptime,Date_Time,DisplayID,FocusedWindow,FocusedApplication,Flags,Type,Pid,uid,frame
0,2186877.96,2019-08-12 22:32:06.901,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810920,0x00000001,4141,10133,",0,0,1080,2244"
1,2186889.06,2019-08-12 22:32:17.995,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
2,2186899.75,2019-08-12 22:32:28.688,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
3,2186910.94,2019-08-12 22:32:39.882,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
4,2186921.17,2019-08-12 22:32:50.115,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
5,2186931.34,2019-08-12 22:33:00.281,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
6,2186942.65,2019-08-12 22:33:11.594,0,StatusBar,com.tencent.gwgo/.activity.MainActivity,0x81860040,0x000007d0,1839,10012,",0,0,1080,2244"
7,2186953.07,2019-08-12 22:33:22.011,0,com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher,com.huawei.android.launcher/.unihome.UniHomeLauncher,0x8d910120,0x00000001,2037,10091,",0,0,1080,2244"
8,2186964.89,2019-08-12 22:33:33.825,0,com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher,com.huawei.android.launcher/.unihome.UniHomeLauncher,0x8d910120,0x00000001,2037,10091,",0,0,1080,2244"
9,2186975.70,2019-08-12 22:33:44.634,0,com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher,com.huawei.android.launcher/.unihome.UniHomeLauncher,0x8d910120,0x00000001,2037,10091,",0,0,1080,2244"
10,2186986.12,2019-08-12 22:33:55.062,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
11,2186996.69,2019-08-12 22:34:05.625,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,4141,10133,",0,0,1080,2244"
12,2187007.15,2019-08-12 22:34:16.087,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x018105a0,0x00000001,23153,10133,",0,0,1080,2244"
13,2187017.63,2019-08-12 22:34:26.565,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x018105a0,0x00000001,23153,10133,",0,0,1080,2244"
14,2187027.81,2019-08-12 22:34:36.753,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,23153,10133,",0,0,1080,2244"
15,2187037.94,2019-08-12 22:34:46.882,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810920,0x00000001,23153,10133,",0,0,1080,2244"
16,2187048.74,2019-08-12 22:34:57.682,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,23153,10133,",0,0,1080,2244"
17,2187059.52,2019-08-12 22:35:08.456,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810520,0x00000001,23153,10133,",0,0,1080,2244"
18,2187069.88,2019-08-12 22:35:18.825,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810920,0x00000001,23153,10133,",0,0,1080,2244"
19,2187080.36,2019-08-12 22:35:29.302,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810920,0x00000001,23153,10133,",0,0,1080,2244"
20,2187091.21,2019-08-12 22:35:40.144,0,com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity,com.tencent.gwgo/.activity.MainActivity,0x01810920,0x00000001,23153,10133,",0,0,1080,2244"
